관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26110-00001,용두산공원,근린공원,부산광역시 중구 용두산길 37-55(광복동2가),부산광역시 중구 광복동2가 1-2,35.10020856,129.0322778,65620.1,,,,,,1944-01-03,부산시설공단,,2025-10-21
26110-00002,중앙공원,근린공원,,부산광역시 중구 영주동 239-114,35.1096029,129.0281365,207489.6,,,,,,1986-12-02,부산시설공단,,2025-10-21
26110-00003,영주어린이공원,어린이공원,,부산광역시 중구 영주동 274-11,35.1115211,129.0307744,198,,,,,,1968-02-27,부산광역시중구청,051-600-4532,2025-10-21
26110-00004,오름소공원,소공원,,부산광역시 중구 동광동5가 14-1,35.10853818,129.0328293,3758.5,,,,,,2018-10-10,부산광역시중구청,051-600-4532,2025-10-21
26110-00005,문화공원2,문화공원,,부산광역시 중구 중앙동4가 107,35.1080439959,129.042945,23959.5,,,,,,2016-04-13,부산시설공단,,2025-10-21
26110-00006,문화공원3,문화공원,,부산광역시 중구 중앙동4가 101,35.107388021,129.0419375369,32385.2,,,,,,2016-04-13,부산시설공단,,2025-10-21
26110-00007,역사공원2,역사공원,부산광역시 중구 충장대로 26,부산광역시 중구 중앙동4가 15-3,35.1051276121,129.0396108093,31464.9,,,,,,2023-05-17,부산광역시,,2025-10-21
